ID,response
1,"Sinking into the plush armchair, she felt herself slipping into her daydream again. Robin had always been a daydreamer, falling so deeply into detailed worlds that she saw so vividly.
Feeling the caresses of the breeze on her skin, Robin opened her eyes, stunned. Her meandering thoughts about the deep pine forest outside her grandparent’s house seemed to have led her into something like a dream. Towering pines stood around her, allowing beams of light to shine through their branches and illuminate the path below. Mossy emerald boulders dotted the path she was on, bearing shelter to ferns and delicate lacy white wildflowers at their bases.
Entranced, she started along the path, smelling the musk of the forest and stepping over fallen logs now home to woodland creatures. She could hear the chittering of red squirrels and calls of magpies in the branches above, reminded of the sounds of her childhood summers in this very forest.
As she explored the path leading her under the canopy, she came across a small brook running across the path. Coming up to the brook, she stepped over the plank of wood meant to provide passage over the running water. As she stepped over the wood, her toe of her boot caught the head of a nail. Thrown off her balance, Robin stumbled from the makeshift bridge and one of her feet stepped into the shallow stream into the chilly mountain water.
Feeling a desire to return home to the comfort of dry shoes, Robin snapped back from her daydream and found herself back nestled into the armchair by the window, recognizing once again her home. 
Puzzled, she looked down at her feet. One boot was damp and her wool sock inside was completely soaked.
Confused, she looked down incredulously. Had she transported herself to another place?"
2,"Alice was walking to the bank one day when suddenly she imagined herself being hit by a car on her usual route over.  She knew it was silly to let her imagination get the best of her but she decided to go the other way just to make herself feel better.  When she arrived at the bank she saw people crowded around the other side of the street.  When she asked a man what had happened he explained that a car had spun out of control and swerved onto the sidewalk.  She couldn’t believe what she was hearing.  Shaken up from the whole ordeal she decided to walk back home to calm herself down.  On her way home however she had another vision.  This time she saw her mom at her house surprising her with some news about her sister.  She shook her head and brushed it off as her mind playing tricks on her, but as she walked up the steps to her house she saw her mother’s car parked outside.  Once her mother saw Alice was home she ran up to her exclaiming that she had some news for her about her sister.  Her sister had just gotten engaged and wanted Alice to be her maid of honor.  Alice felt her head reel and told her mom she needed to go inside and lie down for a bit.  Worried, her mother followed her inside and asked if she was feeling alright.  She asked her mother what the odds are of imagining a scenario in your head and having it become reality only minutes later.  Alice’s mother seemed confused by the sudden question but said she supposed it is possible but that it would be a very unusual coincidence.  She looked very puzzled and asked Alice why she was considering something so unlikely.  Alice just let out a shaky laugh and replied that she was just curious was all.  That seemed to satisfy her mother who immediately began to go off about wedding arrangements for her sister.  Alice found herself zoning out as her mother went on and on.  She thought the only reasonable explanation for what had just happened was that it was a coincidence however she began to have another vision.  She saw her mother dropping a glass from the kitchen and cutting her hand.  Sure enough a few minutes later as her mother went to the kitchen to get a glass of water she dropped one of the glasses and cut herself as she tried to pick up the broken pieces.  As Alice heard the glass shatter on the floor it was like something clicked in her brain.  Her visions were coming true far too often which could only leave her with one conclusion.  She realized she was able to predict the immediate future.  "
3,"Chloe went to bed that night with a terrible migraine. It was as if an unyielding metal ring was being cranked tighter and tighter around her skull until her brain screamed with pain that went up, down, sideways but never out. Just when she was about to give up on sleep, there was a sudden very quiet click; her tortured mind became a blank and she plummeted into oblivion.
Crash. Eyes popped wide open, Chloe found herself staring at the ceiling in her dorm room. 
-“Omg, are you okay??” her roommate stares at her from under drooping eyelids. “What kind of idiot falls off their bed?.. Ughhh only two more hours before my stupid bio midterm…”
 Chloe shakes her head in confusion. “Whaaa? Yeah, I’m fine…Sorry about waking you up, Tess.”
Her response is a loud unceremonious snore.
Wow, that was weird as hell, Chloe thinks. She takes a long, cold shower and throws on her don’t-give-a-damn clothes, grabbing her skateboard and booking it out the door ten minutes before her math 34A midterm. 
Walking through the halls of the dorm she feels a strange tingling sensation in her brain, as if a swarm of subtle whispers are bombarding her thoughts. She is so distracted trying to distinguish them all that it is only when she is halfway to her class that she realizes that she forgot her calculator. 
This is going to be a great way to end the week…She thinks helplessly as she tries not to make eye contact with a girl walking in her direction. I can’t believe he refused to give me a ride to school today, what a prick. I’m so done. Chloe runs past her like a hurricane and into the lecture hall that is already brimming with students. She throws her scantron on the table and desperately bubbles in her name, feeling like she might just go insane. 
“The midterm has now begun” the professor announces. Everything goes silent, including Chloe’s mind.
And then all the answers start flooding in."
4,"Underwater Adventures
~Written for Miss G, because storytime is your favorite time of day. Stay 5 years old forever, little one.~
2.2.16
Once upon a time there stood a little cottage on a little lake. In that little cottage on the little lake, was a little girl named Gabrielle. She loved singing and dancing and playing make believe, and had just started learning how to swim. She’d go out with her mom and sister and wade into the lake until her belly touched the water, and practice kicking and arm strokes mid-air. She never dared go in further, for fear of going underwater. She wasn’t allowed on the dock without an older family member watching over her to make sure she didn’t fall off. After waking up early from her nap one day though, Gabrielle climbed on the dock and stared into the lake. A storm was coming, and she could hear the wind howling and creating riffed waves in the lake. Suddenly, lightening struck the dock. The wooden planks immediately cracked, and Gabrielle fell through the hole in the dock. She tried to keep afloat, but something was pulling her down. Down, down she went into the cold dark waters. Gabrielle was frightened, but she opened her eyes to try and find something to hold on to. Instead, she found something unexpected; she saw she was underwater with colorful fish, sea turtles, and mermaids. Suddenly, she didn’t feel so afraid. She danced with the mermaids and played hide and seek with the jellyfish, until suddenly, she realized that she had been under water for quite some time. As she tried to swim up for air, one of the mermaids told her that she had a special power that allowed her to breathe underwater. Gabrielle couldn’t be any more excited- how fun swim lessons were going to be from now on! After playing with her new friends for a few more minutes, Gabrielle swam to the shore and ran inside. Her little face was beaming as she told her family about her newfound power, and from that day on, Gabrielle was never afraid to go under water again.
The End"
5,"I hadn’t realized before that this was all it took. In my new disguise I can walk down any street at any time. I can get on any bus and look whichever way. I can wear whichever clothes to any place, I can drive into the night and back. Any call I hear I can attend, where I used to have to play deaf and avoid their eyes. 
I looked back over my shoulder, still walking towards my train. The group of men had walked past me and continued oblivious. Not oblivious; I wasn’t invisible. They’d seen me. But they’d seen another Man."
6,"It was late at night when my best friend, Caroline, and I left the movie theater on Friday night. We were walking towards her car laughing hysterically about our favorite scenes in the movie we’d just watched. We were almost to her car and when we heard this super loud noise, like an explosion, coming from right behind us. We automatically fell to the ground and covered our ears. I don’t remember how long it took us to get up, but when I came too I heard Caroline calling out for me. As I was searching for her I caught a glimpse of a people walking towards from the middle of the parking lot and I automatically knew we were in danger. I looked for Caroline frantically and saw she was leaning against someone else’s car. There was blood streaming down her forehead and I knew there was no way we could both get away. I ran to her and told her to run as far and as fast as she could. She tried to protest but I told her I would meet her in the plaza to get help. I told her splitting up was our best chance at surviving. I lied. She would survive, but the only way for that to happen was for me to distract the men coming after us. I had no idea what I was going to do but I as soon I Caroline started running a walked towards the two men coming for us. There was only one thought keeping me going and it was that I could not let anything bad happen to all the innocent people around and especially not to my best friend. All I wanted with every bone in my body was for these men to disappear and leave us all alone. One raised his gun up to me and as he was about to pull the trigger a burst of panic and anger blew out of me and the men that were right in front of me a second ago were just gone. And not just them but the whole middle part of the parking lot was missing. I kept looking around trying to figure out what was happening when I looked down at my hands and saw sparkling smoke like substance coming out of them. I couldn’t understand what was going on. The people who were around me seemed more afraid of me than they ever would have been of the men that had just vanished. But there was no way I could have done that. I was normal, I was only 19 years old, and I couldn’t just wake up one day and have powers. But as it turned out, I did. And that night was the start of the end of my life as I had known it. "
7,"It was completely silent. I opened my eyes. The world looked like a picture. There was a bird stuck in mid-flap, and I saw a squirrel frozen in the process of running up a nearby pine. The intense wind had stopped, and the swaying angle of the leaves made the trees look like dancers. It was like a movie still, all the action caught up in one moment, a unique moment that never happened before and never would happen again. But I could make it last forever.
I could, couldn’t I? If a moment was perfect enough, if I really wanted to, I could make everything stop so that moment could always be, so I could always live in it. But I wouldn’t really be living in it. I would be living in a dead world. The trees were dancing, the sun was shining, but the birds weren’t singing. The perfect moment was gone, it wasn’t a movie scene anymore, it was an exhibit in a museum, after hours, dead and empty, and so quiet the silence is oppressive, forcing its way into my ears, demanding that I listen to it.
I closed my eyes, willing the silence to go away. And sound returned to the world. By the time I opened my eyes the birds had flown away, and the squirrel had climbed his tree, but in the distance I saw another squirrel, and I even glimpsed a fawn through the underbrush. Birds were singing, the wind was howling through the branches, and I heard my class farther along the trail, people talking over the crunching of dead leaves beneath their feet.
I’d always wanted to be special, to have a superpower. Now that I finally had one, I knew I would never use it. Except maybe when I have a test to study for. "
8,"It seemed as if no one understood Anna. People would yell at her for not listening or force her to do things she didn’t understand. She knew she was different, not only because she was treated as if, but because she had been deliberately labeled different since birth. Autistic, some people called it, but to herself she was simply misunderstood. She didn’t necessarily like people, in fact she didn’t like anything much she had around, but there was something about the ocean she liked that no one else could comprehend. She loved the smell of the sea salt, the sand beneath her feet, and the sound of rhythmic waves crashing. She wished to bathe in the water all day. To swim as far as she could and dive deep enough to forget about the world that worked against her. Her parents worried she might drown because they believed she was mentally incapable of swimming on her own, but little did they know about the numerous amount of times she would sneak out of her bedroom at night and dive into the cold dark waters to swim and swim and swim until she touched the ocean bottom. That’s when she felt safe. Away from people. Away from the world she didn’t belong in. She was indeed different! She could breathe underwater. She could speak to the dolphins, stingrays, and clown fish. She made jokes with the underwater animals about how humans knew nothing about the ocean. She raced against whales and played alongside catfish. She felt complete underwater. Everything was right until the sunset broke, when she was forced to swim back to shore and return to her bedroom back on earth. She despised going back but she needed to rest from a long night of swimming. So every morning she would crawl back under the covers and wait for her mother to come get her. She felt happiness and sadness all at once. Happy that she had something no one but herself could enjoy, yet sadness that she was trapped in a world in which she didn’t belong. Anna wasn’t autistic; Anna was meant to live in the ocean."
9,"It wasn’t much anything special.
Catherine loved to talk to her pets all the time. She did it every day. In the morning, “Good morning, Pocky!” In the afternoon, “What’s up, Splinter?” And in the evening, “Goodnight, Ralphie.”
Every day she would say these things to her dog, her rat, and her cat. One day, they simply started answering her back.
In the morning, “’Morning, Kate! How ‘re ya doing? Oh, off to school already? I’ll wait for you!” In the afternoon, “Oh, good day to you too, Cathy.” And in the evening, “Don’t stop petting me now, Catherine, I was just getting comfortable! Typical human.”
And at first, 10-year-old Catherine didn’t think anything of it. She had been talking to her animals for years, why should it be strange that they talked back. It was about time to anyway!
Then one day, a boy at school caught her speaking to a frog. “Ew, Katie, why are you talking to that?”
“Well, I was just telling him about my day.”
“That’s weird. You should stop talking to animals, it’s not like they can say anything back.” He stormed off, leaving Catherine behind to contemplate her situation.
Nobody else can talk to them, she thought. Who would have known! It’s just as well-people wouldn’t appreciate what animals have to say anyway. But I will. I’ll listen to them.
“Are you feeling ok, Katie? That boy didn’t upset you, did he?”
“No, of course not, Mr. Frog. I just realized that I might be the only one who really cares about you.”
“That’s not true, Katie, but you are special. What are you going to do now?”
“I don’t really know…”
It was then that Catherine realized that she really didn’t know what to do with herself and her newfound uniqueness. She went about her days, months, and years, idly using her powers as a part of natural communication, albeit more secretive than most. And when the time came for her to choose her major in college, which would ultimately determine her path in life, Catherine paused.
“What’s the matter, Katie?” her mother asked.
“Nothing, I’m just unsure about which major I want to apply as.”
“Well, you like animals, why not veterinary science?”
“Anything but that…”
And at this point Catherine made an even more important realization. Even with this special power, there was nothing life-changing about her. She was normal, yet unique in her own sense. Her abilities were not the only thing that dictated what she should do; it was also decided by what she wanted to do.
“I think I’ll go into political science, mom. I’m really interested in that kind of stuff.”
“That’s true, honey. Do whatever makes you happiest.”"
10,"This fictional character’s name is Tom, one day Tom was walking down the street and window shopping. He saw this collection of high end cheese through the window of the dairy store and got extremely excited, because it was noon time and he was hungry. But all of a sudden, Tom realized his surrounding had changed, he was no longer on the sidewalk of the Main Street in downtown. He found himself in the middle of a ranch with Alps Mountain in the background. He was confused then realized that he was in Switzerland, Europe. But then he was also wondering how he got there in just a blinking of the eye. He thought that he must have obtained some sort of superpower that enabled him to physically travel to wherever the location he put him minds on. He was panicking at the moment because it was cold in the mountain range and he was only wearing short sleeves, gym shorts, and floppers. Now he had to concentrate his mind to home, downtown Austin so he could go back using his superpower. He also realized that now with this superpower, he must be careful with his thoughts so that he would be hopping around different parts of the world while doing something important. But also he doesn’t have to use any means of transportations to travel or commute. He needed to practice with his thoughts so that he would get an idea on how hard he had to think in order to get to places. So far, Tom was happy with his superpower because he was able to think about his home and got back to his house within 1 millisecond. He needed to practice with his thoughts a bit more and share with his families and friends that he has the superpower of getting to different places around the world with just thinking of them on his mind. He’s not thinking of space just yet because it could be dangerous."
