Participant,Study,Image_CZ,Image_SD,Image_StH,Image_TH,Image_SaH,Image_GR,Voice_CZ,Voice_SD,Voice_StH,Voice_TH,Voice_SaH,Voice_GR,Origin_CZ,Origin_SD,Origin_StH,Origin_TH,Origin_SaH,Origin_GR,Subjective_CZ,Subjective_SD,Subjective_StH,Subjective_TH,Subjective_SaH,Subjective_GR,Story_image,Story_voice,Story_origin,Story_subjective,Story_totalobjective
1,2,3,3,3,3,#NULL!,3,2,2,2,3,#NULL!,3,2,2,2,2,#NULL!,2,5,4,4,5,#NULL!,4,3.00,2.40,2.00,4.40,2.47
2,2,1,1,1,2,#NULL!,1,1,1,1,1,#NULL!,1,2,1,1,1,#NULL!,1,2,2,1,2,#NULL!,2,1.20,1.00,1.20,1.80,1.13
3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,4,3,4,4,5,2,3.00,3.00,1.33,3.67,2.44
4,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,1,3,3,2,4,3,3,4,4,5,2.17,2.17,2.33,3.83,2.22
5,2,1,1,1,1,1,1,2,1,2,1,1,1,3,3,3,3,3,3,5,3,4,5,1,1,1.00,1.33,3.00,3.17,1.78
6,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,3,3,3,3,2,2,1.50,1.17,1.50,2.67,1.39
7,2,3,3,3,3,3,2,3,3,3,3,2,3,2,1,2,2,1,1,5,3,5,4,4,2,2.83,2.83,1.50,3.83,2.39
8,2,1,2,2,1,2,2,2,1,1,2,1,1,3,3,3,3,3,3,5,4,5,4,3,3,1.67,1.33,3.00,4.00,2.00
9,2,2,1,1,1,1,1,3,3,2,2,2,2,3,2,2,2,2,2,4,3,3,3,3,3,1.17,2.33,2.17,3.17,1.89
10,2,1,1,1,1,#NULL!,2,1,1,1,1,#NULL!,1,2,1,1,1,#NULL!,2,2,1,1,1,#NULL!,2,1.20,1.00,1.40,1.40,1.20
11,2,2,2,2,2,#NULL!,1,1,1,2,2,#NULL!,1,2,2,2,2,#NULL!,1,3,3,4,2,#NULL!,2,1.80,1.40,1.80,2.80,1.67
12,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,2,2,3,1,2,1,2,1.00,1.00,2.17,1.83,1.39
13,2,2,2,1,2,1,1,2,3,3,2,3,2,2,2,3,2,3,3,1,3,4,4,4,3,1.50,2.50,2.50,3.17,2.17
14,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,5,5,5,5,4,4,3.00,2.83,2.83,4.67,2.89
15,2,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,2,2,2,5,4,4,3,5,5,2.67,3.00,2.17,4.33,2.61
16,2,1,1,1,2,1,1,1,1,1,1,1,1,2,3,3,3,2,3,3,2,3,3,1,4,1.17,1.00,2.67,2.67,1.61
17,2,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,3,4,2,2,1,1.17,1.83,1.17,2.33,1.39
18,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,3,2,2,3,3,2,4,3,3,2,1.17,1.33,2.33,2.83,1.61
19,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,4,2,1,2,1.00,1.17,1.33,1.83,1.17
20,2,1,1,1,1,#NULL!,1,1,2,2,1,#NULL!,1,1,1,1,1,#NULL!,2,1,3,2,1,#NULL!,3,1.00,1.40,1.20,2.00,1.20
21,2,2,2,1,2,#NULL!,2,2,2,2,2,#NULL!,2,2,2,2,2,#NULL!,2,3,2,4,4,#NULL!,3,1.80,2.00,2.00,3.20,1.93
22,2,2,2,2,1,1,1,2,3,2,2,2,2,2,3,3,3,2,2,3,4,3,3,3,2,1.50,2.17,2.50,3.00,2.06
23,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,3,3,1,1.50,1.17,1.50,2.17,1.39
24,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1.00,1.00,1.00,2.00,1.00
25,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,3,5,4,5,5,5,5,3.00,2.50,2.83,4.83,2.78
26,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,3,3,2,2,4,3,4,4,3,2,1.83,2.33,2.33,3.33,2.17
27,2,2,1,2,2,2,1,3,2,2,2,2,2,3,2,3,3,2,2,5,1,5,4,4,2,1.67,2.17,2.50,3.50,2.11
